#Non-linear P(k) from CAMB; WMAP-5 cosmology
    0.36066E-01    0.18210E+05
    0.37915E-01    0.17292E+05
    0.39859E-01    0.16432E+05
    0.41903E-01    0.15640E+05
    0.44051E-01    0.14922E+05
    0.46310E-01    0.14279E+05
    0.48684E-01    0.13707E+05
    0.51180E-01    0.13199E+05
    0.53804E-01    0.12745E+05
    0.56563E-01    0.12328E+05
    0.59463E-01    0.11922E+05
    0.62512E-01    0.11496E+05
    0.65717E-01    0.11018E+05
    0.69086E-01    0.10473E+05
    0.72628E-01    0.98627E+04
    0.76352E-01    0.91924E+04
    0.80267E-01    0.84735E+04
    0.84382E-01    0.77447E+04
    0.88708E-01    0.70596E+04
    0.93257E-01    0.64628E+04
    0.98038E-01    0.59766E+04
    0.10306E+00    0.56015E+04
    0.10835E+00    0.53211E+04
    0.11390E+00    0.50999E+04
    0.11974E+00    0.48826E+04
    0.12588E+00    0.46215E+04
    0.13234E+00    0.43013E+04
    0.13912E+00    0.39379E+04
    0.14626E+00    0.35749E+04
    0.15375E+00    0.32652E+04
    0.16164E+00    0.30371E+04
    0.16992E+00    0.28763E+04
    0.17864E+00    0.27390E+04
    0.18780E+00    0.25827E+04
    0.19742E+00    0.23942E+04
    0.20755E+00    0.22011E+04
    0.21819E+00    0.20392E+04
    0.22937E+00    0.19204E+04
    0.24113E+00    0.18203E+04
    0.25350E+00    0.17126E+04
    0.26649E+00    0.15975E+04
    0.28016E+00    0.14950E+04
    0.29452E+00    0.14129E+04
    0.30962E+00    0.13378E+04
    0.32550E+00    0.12610E+04
    0.34219E+00    0.11896E+04
    0.35973E+00    0.11281E+04
    0.37817E+00    0.10704E+04
    0.39756E+00    0.10149E+04
    0.41795E+00    0.96457E+03
    0.43938E+00    0.91801E+03
    0.46190E+00    0.87381E+03
    0.48559E+00    0.83282E+03
    0.51048E+00    0.79432E+03
    0.53665E+00    0.75797E+03
    0.56417E+00    0.72375E+03
    0.59310E+00    0.69128E+03
    0.62350E+00    0.66046E+03
    0.65547E+00    0.63110E+03
    0.68908E+00    0.60305E+03
    0.72441E+00    0.57617E+03
    0.76155E+00    0.55037E+03
    0.80059E+00    0.52553E+03
    0.84164E+00    0.50157E+03
    0.88479E+00    0.47842E+03
    0.93016E+00    0.45602E+03
    0.97785E+00    0.43431E+03
    0.10280E+01    0.41326E+03
    0.10807E+01    0.39283E+03
    0.11361E+01    0.37298E+03
    0.11943E+01    0.35371E+03
    0.12556E+01    0.33500E+03
    0.13200E+01    0.31683E+03
    0.13876E+01    0.29921E+03
    0.14588E+01    0.28213E+03
    0.15336E+01    0.26559E+03
    0.16122E+01    0.24961E+03
    0.16949E+01    0.23418E+03
    0.17818E+01    0.21931E+03
    0.18731E+01    0.20502E+03
    0.19691E+01    0.19130E+03
    0.20701E+01    0.17817E+03
    0.21762E+01    0.16563E+03
    0.22878E+01    0.15368E+03
    0.24051E+01    0.14232E+03
    0.25284E+01    0.13155E+03
    0.26581E+01    0.12137E+03
    0.27944E+01    0.11177E+03
    0.29376E+01    0.10275E+03
    0.30882E+01    0.94279E+02
    0.32466E+01    0.86356E+02
    0.34130E+01    0.78962E+02
    0.35880E+01    0.72080E+02
    0.37720E+01    0.65689E+02
    0.39654E+01    0.59769E+02
    0.41687E+01    0.54298E+02
    0.43824E+01    0.49254E+02
    0.46071E+01    0.44614E+02
    0.48433E+01    0.40354E+02
    0.50916E+01    0.36453E+02
    0.53527E+01    0.32886E+02
    0.56271E+01    0.29632E+02
    0.59156E+01    0.26668E+02
    0.62189E+01    0.23974E+02
    0.65378E+01    0.21529E+02
    0.68730E+01    0.19314E+02
    0.72254E+01    0.17311E+02
    0.75958E+01    0.15501E+02
    0.79853E+01    0.13868E+02
    0.83947E+01    0.12397E+02
    0.88251E+01    0.11074E+02
    0.92776E+01    0.98847E+01
    0.97532E+01    0.88173E+01
    0.10253E+02    0.78601E+01
    0.10779E+02    0.70027E+01
    0.11332E+02    0.62353E+01
    0.11913E+02    0.55490E+01
    0.12523E+02    0.49359E+01
    0.13166E+02    0.43884E+01
    0.13841E+02    0.39001E+01
    0.14550E+02    0.34646E+01
    0.15296E+02    0.30767E+01
    0.16080E+02    0.27312E+01
    0.16905E+02    0.24237E+01
    0.17772E+02    0.21502E+01
    0.18683E+02    0.19070E+01
    0.19641E+02    0.16908E+01
    0.20648E+02    0.14988E+01
    0.21706E+02    0.13283E+01
    0.22819E+02    0.11770E+01
    0.23989E+02    0.10426E+01
    0.25219E+02    0.92347E+00
    0.26512E+02    0.81779E+00
    0.27871E+02    0.72408E+00
    0.29300E+02    0.64102E+00
    0.30803E+02    0.56741E+00
    0.32382E+02    0.50218E+00
    0.34042E+02    0.44440E+00
    0.35788E+02    0.39323E+00
    0.37622E+02    0.34791E+00
    0.39551E+02    0.30779E+00
    0.41579E+02    0.27227E+00
    0.43711E+02    0.24083E+00
    0.45952E+02    0.21300E+00
    0.48308E+02    0.18838E+00
    0.50785E+02    0.16659E+00
    0.53389E+02    0.14731E+00
    0.56126E+02    0.13026E+00
    0.59004E+02    0.11517E+00
    0.62029E+02    0.10183E+00
    0.65209E+02    0.90026E-01
    0.68552E+02    0.79589E-01
    0.72067E+02    0.70359E-01
    0.75762E+02    0.62198E-01
    0.79647E+02    0.54981E-01
    0.83730E+02    0.48600E-01
    0.88023E+02    0.42959E-01
    0.92536E+02    0.37971E-01
    0.97281E+02    0.33562E-01
    0.10227E+03    0.29664E-01
    0.10751E+03    0.26218E-01
    0.11302E+03    0.23172E-01
    0.11882E+03    0.20479E-01
    0.12491E+03    0.18099E-01
    0.13132E+03    0.15996E-01
    0.13805E+03    0.14136E-01
    0.14513E+03    0.12493E-01
    0.15257E+03    0.11040E-01
    0.16039E+03    0.97568E-02
    0.16861E+03    0.86222E-02
    0.17726E+03    0.76195E-02
    0.18634E+03    0.67334E-02
    0.19590E+03    0.59503E-02
    0.20594E+03    0.52582E-02
    0.21650E+03    0.46466E-02
    0.22760E+03    0.41060E-02
    0.23927E+03    0.36284E-02
    0.25154E+03    0.32063E-02
    0.26444E+03    0.28333E-02
    0.27799E+03    0.25036E-02
    0.29225E+03    0.22123E-02
    0.30723E+03    0.19549E-02
    0.32298E+03    0.17275E-02
    0.33954E+03    0.15264E-02
    0.35695E+03    0.13488E-02
    0.37525E+03    0.11919E-02
    0.39449E+03    0.10532E-02
    0.41472E+03    0.93062E-03
    0.43598E+03    0.82232E-03
    0.45833E+03    0.72662E-03
    0.48183E+03    0.64206E-03
    0.50654E+03    0.56734E-03
    0.53251E+03    0.50131E-03
    0.55981E+03    0.44297E-03
    0.58851E+03    0.39141E-03
    0.61869E+03    0.34586E-03
    0.65041E+03    0.30561E-03
    0.68375E+03    0.27004E-03
    0.71881E+03    0.23861E-03
    0.75567E+03    0.21084E-03
    0.79441E+03    0.18630E-03
    0.83514E+03    0.16461E-03
    0.87796E+03    0.14546E-03
    0.92297E+03    0.12853E-03
    0.97029E+03    0.11357E-03
    0.10200E+04    0.10035E-03
    0.10723E+04    0.88668E-04
    0.11273E+04    0.78348E-04
    0.11851E+04    0.69228E-04
    0.12459E+04    0.61171E-04
    0.13098E+04    0.54050E-04
    0.13769E+04    0.47759E-04
    0.14475E+04    0.42200E-04
    0.15217E+04    0.37288E-04
    0.15997E+04    0.32948E-04
    0.16818E+04    0.29113E-04
    0.17680E+04    0.25724E-04
    0.18586E+04    0.22730E-04
    0.19539E+04    0.20084E-04
    0.20541E+04    0.17747E-04
    0.21594E+04    0.15681E-04
    0.22701E+04    0.13856E-04
    0.23865E+04    0.12243E-04
    0.25089E+04    0.10818E-04
    0.26375E+04    0.95587E-05
    0.27728E+04    0.84460E-05
    0.29149E+04    0.74629E-05
    0.30644E+04    0.65943E-05
    0.32215E+04    0.58267E-05
    0.33867E+04    0.51485E-05
    0.35603E+04    0.45492E-05
    0.37428E+04    0.40197E-05
    0.39347E+04    0.35518E-05
    0.41365E+04    0.31383E-05
    0.43486E+04    0.27730E-05
    0.45715E+04    0.24503E-05
    0.48059E+04    0.21651E-05
    0.50523E+04    0.19130E-05
    0.53113E+04    0.16904E-05
    0.55837E+04    0.14936E-05
    0.58699E+04    0.13197E-05
    0.61709E+04    0.11661E-05
    0.64873E+04    0.10304E-05
    0.68199E+04    0.91045E-06
    0.71696E+04    0.80448E-06
    0.75372E+04    0.71083E-06
    0.79236E+04    0.62809E-06
    0.83298E+04    0.55498E-06
    0.87569E+04    0.49038E-06
    0.92059E+04    0.43330E-06
    0.96779E+04    0.38286E-06
    0.10174E+05    0.33830E-06
